Number,Associated,TaxRank,MinScore,NextMaxScore
21906,Baltimorevirus,Genus,255:04:00,166:01:00
10820,Pegunavirus,Genus,837:02:00,786:03:00
11850,Slopekvirus,Genus,136:06:00,132:04:00
12591,Obolenskvirus,Genus,214:00:00,165:00:00
10821,Pegunavirus,Genus,618:08:00,569:09:00
18109,Webervirus,Genus,135:04:00,109:01:00
11976,Slopekvirus,Genus,396:00:00,306:09:00
11530,Chivirus,Genus,186:07:00,167:01:00
21965,Corndogvirus,Genus,146:05:00,94:07:00
29660,Popoffvirus,Genus,154:02:00,142:02:00
10534,Fletchervirus,Genus,366:08:00,97:09:00
10396,Firehammervirus,Genus,541:03:00,248:07:00
18737,Bronvirus,Genus,127:00:00,118:02:00
4820,Rigallicvirus,Genus,204:07:00,160:08:00
1895,Hendrixvirus,Genus,192:00:00,190:07:00
14518,Timquatrovirus,Genus,96:04:00,94:00:00
11156,Kostyavirus,Genus,176:08:00,150:03:00
14555,Reyvirus,Genus,267:08:00,233:04:00
21951,Corndogvirus,Genus,1409:02:00,407:00:00
26530,Jedunavirus,Genus,128:05:00,121:03:00
26172,Lessievirus,Genus,255:08:00,143:03:00
14065,Omegavirus,Genus,82:05:00,81:01:00
4641,Slopekvirus,Genus,145:05:00,143:09:00
18782,Cbastvirus,Genus,165:05:00,87:03:00
23418,Gordtnkvirus,Genus,1956:09:00,1255:01:00
8681,Agatevirus,Genus,94:04:00,92:00:00
12645,Obolenskvirus,Genus,106:08:00,75:07:00
30624,Bequatrovirus,Genus,428:05:00,396:00:00
19969,Saphexavirus,Genus,141:03:00,139:08:00
22769,Avunavirus,Genus,134:00:00,100:00:00
10853,Pegunavirus,Genus,146:03:00,108:04:00
26252,Kayvirus,Genus,232:01:00,214:09:00
26568,Xipdecavirus,Genus,115:03:00,69:07:00
3063,Ithacavirus,Genus,81:07:00,80:08:00
5947,Agricanvirus,Genus,404:03:00,345:00:00
23241,Schizotequatrovirus,Genus,127:08:00,71:03:00
21969,Corndogvirus,Genus,300:07:00,151:08:00
24317,Coopervirus,Genus,189:04:00,179:06:00
21682,Cheoctovirus,Genus,359:04:00,134:09:00
23315,Slashvirus,Genus,819:09:00,768:01:00
6148,Kayvirus,Genus,772:03:00,751:09:00
21662,Lilyvirus,Genus,271:00:00,270:07:00
23209,Pagevirus,Genus,3453:09:00,1157:03:00
10790,Pegunavirus,Genus,279:01:00,244:02:00
10846,Pegunavirus,Genus,398:06:00,373:02:00
27932,Mieseafarmvirus,Genus,213:09:00,48:07:00
3085,Hollowayvirus,Genus,394:07:00,394:06:00
14313,Cheoctovirus,Genus,144:02:00,108:01:00
15825,Corndogvirus,Genus,427:04:00,415:00:00
22909,Xipdecavirus,Genus,308:08:00,307:05:00
16197,Limestonevirus,Genus,533:05:00,309:02:00
22353,Bernalvirus,Genus,245:04:00,159:02:00
23199,Pagevirus,Genus,290:02:00,77:01:00
6241,Agatevirus,Genus,155:05:00,141:03:00
5382,Andromedavirus,Genus,196:03:00,105:08:00
29402,Bequatrovirus,Genus,1675:03:00,1409:07:00
23780,Getseptimavirus,Genus,315:08:00,294:08:00
28094,Dhillonvirus,Genus,189:05:00,57:08:00
26176,Lessievirus,Genus,573:03:00,432:09:00
10813,Pegunavirus,Genus,376:05:00,375:09:00
14554,Bongovirus,Genus,277:03:00,271:09:00
10623,Fletchervirus,Genus,348:04:00,182:04:00
12819,Emdodecavirus,Genus,331:09:00,185:04:00
12644,Obolenskvirus,Genus,163:06:00,126:03:00
10803,Pegunavirus,Genus,1025:08:00,913:07:00
10810,Pegunavirus,Genus,478:05:00,473:02:00
5425,Eiauvirus,Genus,130:09:00,116:08:00
12642,Obolenskvirus,Genus,424:05:00,339:00:00
15691,Fishburnevirus,Genus,207:08:00,204:09:00
16928,Kleczkowskavirus,Genus,380:09:00,337:00:00
